Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53,56,60.27310181,64.5,68.76999664,71.19999695,90,94.86669922,95,95,96.30549622,97.62879944,98.97042579,98.97039795,96.29828801
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.26,3.099999905,4.94,6,14,6.43319107021405,32.3984517141849,32.9002785437986,65,52.305878224498,56.37590027,60.76269913,65.49079895,68.92549896,68.47530365
Cambodia,KHM,"Population, total",SP.POP.TOTL,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.92,12.28,14.52,14.94,17.1431598350566,22.062742603379,25.447353701827,32.335806250688,39.9046386385762,47.6906489788375,53.72649449,62.10447842,66.48461277,69.20836554,72.78075544
Indonesia,IDN,"Population, total",SP.POP.TOTL,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,7,9,10.74769974,12.5,14.26000023,18.20000076,21.87000084,25.51040077,36.27130127,47.03229904,54,62,64.54000092,64.39800262,65.59269714
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6334194,6426590,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.3,61,65.8,57.05751226,63.6654258813225,71.0640678111957,78.7883099275229,80.1404790103961,81.2010486181174,84.1871450078281,89.55501192,96.7514278,97.3986404,97.69272633,98.0206059
Malaysia,MYS,"Population, total",SP.POP.TOTL,28655776,29162039,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.25,0.98,1.399999976,1.799999952,7.400000095,10.89999962,16,23.621081950267,29.37899971,36.54050064,45.4477005,..,..,..,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
Philippines,PHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,25,29,30.79999924,32.70000076,34.70000076,36.90000153,39.20000076,41.59999847,44.09999847,43.0266118680279,53.76490021,66.90779877,75.21114422,77.86699677,67.26300914
Philippines,PHL,"Population, total",SP.POP.TOTL,96337125,98248614,100175512,102076336,103767130,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670
Singapore,SGP,Individuals using the Internet (% of population),IT.NET.USER.ZS,71,71,72,80.90209961,79.0292358633435,79.0129570025584,84.4522678893074,84.4522678893074,88.1656360313447,88.9492526850762,92.00434653,96.92468156,95.95386476,94.28518987,94.37757178
Singapore,SGP,"Population, total",SP.POP.TOTL,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860
Thailand,THA,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.4,23.669925618731,26.46,28.94,34.8860535783465,39.3161267365004,47.5049656215909,52.8919293439676,56.8174809301456,66.6524194587528,77.84374066,85.26956666,87.97724503,89.53525238,90.86718789
Thailand,THA,"Population, total",SP.POP.TOTL,68579447,69007208,69436098,69845114,70216367,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,71668011
Viet Nam,VNM,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.65,35.07,36.79999924,38.5,41,45,53,58.1400000036297,69.8479286837965,68.6615802057338,70.30000012,74.20999985,78.58999918,78.08,84.15
Viet Nam,VNM,"Population, total",SP.POP.TOTL,87455152,88468314,89510356,90573104,91679578,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686
Timor-Leste,TLS,Individuals using the Internet (% of population),IT.NET.USER.ZS,3,4,7,11,17.5,18.60000038,21.20000076,24.20000076,27.60000038,28.00460052,32.01269913,35.04199982,..,..,..
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1084679,1110207,1134885,1158695,1181903,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,
